Date,DJIA
1997-07-10,7886.799805
1997-07-11,7921.799805
1997-07-14,7923
1997-07-15,7975.700195
1997-07-16,8038.899902
1997-07-17,8020.799805
1997-07-18,7890.5
1997-07-21,7906.700195
1997-07-22,8061.600098
1997-07-23,8088.359863
1997-07-24,8116.899902
1997-07-25,8113.399902
1997-07-28,8121.100098
1997-07-29,8174.5
1997-07-30,8254.900391
1997-07-31,8222.599609
1997-08-01,8194
1997-08-04,8198.5
1997-08-05,8187.5
1997-08-06,8259.299805
1997-08-07,8188
1997-08-08,8031.200195
1997-08-11,8062.100098
1997-08-12,7960.799805
1997-08-13,7928.299805
1997-08-14,7942
1997-08-15,7694.700195
1997-08-18,7803.359863
1997-08-19,7918.100098
1997-08-20,8021.200195
1997-08-21,7894
1997-08-22,7887.899902
1997-08-25,7859.600098
1997-08-26,7782.200195
1997-08-27,7787.299805
1997-08-28,7694.399902
1997-08-29,7622.399902
1997-09-02,7879.799805
1997-09-03,7894.600098
1997-09-04,7867.200195
1997-09-05,7822.399902
1997-09-08,7835.200195
1997-09-09,7851.899902
1997-09-10,7719.299805
1997-09-11,7661
1997-09-12,7743
1997-09-15,7721.100098
1997-09-16,7895.899902
1997-09-17,7886.399902
1997-09-18,7922.700195
1997-09-19,7917.299805
1997-09-22,7996.799805
1997-09-23,7970.100098
1997-09-24,7906.700195
1997-09-25,7848
1997-09-26,7922.200195
1997-09-29,7991.399902
1997-09-30,7945.299805
1997-10-01,8015.5
1997-10-02,8027.5
1997-10-03,8038.600098
1997-10-06,8100.200195
1997-10-07,8178.299805
1997-10-08,8095.100098
1997-10-09,8061.399902
1997-10-10,8045.200195
1997-10-13,8072.200195
1997-10-14,8096.299805
1997-10-15,8058
1997-10-16,7938.899902
1997-10-17,7847
1997-10-20,7921.399902
1997-10-21,8060.399902
1997-10-22,8034.600098
1997-10-23,7847.799805
1997-10-24,7715.399902
1997-10-27,7161.200195
1997-10-28,7498.299805
1997-10-29,7506.700195
1997-10-30,7381.700195
1997-10-31,7442.100098
1997-11-03,7674.399902
1997-11-04,7689.100098
1997-11-05,7692.600098
1997-11-06,7683.200195
1997-11-07,7581.299805
1997-11-10,7552.600098
1997-11-11,7558.700195
1997-11-12,7401.299805
1997-11-13,7487.799805
1997-11-14,7572.5
1997-11-17,7698.200195
1997-11-18,7650.799805
1997-11-19,7724.700195
1997-11-20,7826.600098
1997-11-21,7881.069824
1997-11-24,7767.899902
1997-11-25,7809
1997-11-26,7794.799805
1997-11-28,7823.100098
1997-12-01,8013.100098
1997-12-02,8018.799805
1997-12-03,8032
1997-12-04,8050.200195
1997-12-05,8149.100098
1997-12-08,8110.799805
1997-12-09,8049.700195
1997-12-10,7978.799805
1997-12-11,7849
